id,Rank,PerCapitaRank,Country,TotalPrize,NumPlayers,Population,PrizePerMillion,PlayersPerMillion,TopGame,TopGamePct
320,87,106,Guatemala,596547.07,57,18124838,32913.24,3.14,Counter-Strike 2,56.92
591,104,107,Panama,143797.61,68,4458759,32250.59,15.25,Fortnite,54.2
818,57,108,Egypt,3411552.44,347,114535772,29785.91,3.03,CrossFire,35.13
104,69,109,Myanmar,1580633.38,278,54133798,29198.64,5.14,Mobile Legends: Bang Bang,47.77
586,38,110,Pakistan,7157077.25,447,247504495,28916.96,1.81,Dota 2,67.35
832,141,111,Jersey,4706.33,4,167691,28065.49,23.85,Echo Arena,73.38
170,73,112,Colombia,1432554.96,426,52321152,27380.03,8.14,Free Fire,15.31
760,89,113,Syrian Arab Republic,573387.51,64,23594623,24301.62,2.71,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,52.46
512,109,114,Oman,114489.95,40,5049269,22674.56,7.92,Fortnite,80.86
831,147,115,Guernsey,3670.11,1,167691,21886.15,5.96,Rocket League,100.0
12,82,116,Algeria,869063.58,145,46164219,18825.48,3.14,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,26.98
462,131,117,Maldives,9796.54,11,525994,18624.81,20.91,Rocket League,98.76
218,95,118,Ecuador,319056.05,86,17980083,17744.97,4.78,Free Fire,48.92
540,140,119,New Caledonia,5112.97,6,289870,17638.84,20.7,Shadowverse,64.54
480,124,120,Mauritius,21523.33,29,1248647,17237.32,23.23,Call of Duty: Mobile,34.07
862,92,121,Venezuela,471861.37,207,28300854,16673.04,7.31,League of Legends,12.85
780,125,122,Trinidad and Tobago,17419.26,8,1367510,12737.94,5.85,Fortnite,21.67
364,80,123,"Iran, Islamic Republic of",1072378.3,171,89170000,12026.22,1.92,Chess.com,53.1
20,159,124,Andorra,952.26,5,80856,11777.23,61.84,Chess.com,60.38
600,114,125,Paraguay,69699.69,49,6844146,10183.84,7.16,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,30.29
328,133,126,Guyana,8366.67,2,826353,10124.81,2.42,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,91.63
686,103,127,Senegal,177159.17,12,18077573,9799.94,0.66,FIFA 21,36.1
340,111,128,Honduras,102812.29,30,10644851,9658.41,2.82,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,64.91
388,121,129,Jamaica,26074.54,18,2839786,9181.87,6.34,Call of Duty: Warzone,51.84
434,115,130,Libyan Arab Jamahiriya,66120.3,17,7305659,9050.56,2.33,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,82.93
740,139,131,Suriname,5655.04,3,628886,8992.15,4.77,Pokemon Unite,82.82
60,164,132,Bermuda,506.0,4,64698,7820.95,61.83,Dota 2,39.53
316,157,133,Guam,1250.0,1,166506,7507.24,6.01,Tekken 8,100.0
222,116,134,El Salvador,47351.19,20,6309624,7504.6,3.17,Pokemon Unite,26.24
242,137,135,Fiji,6415.25,2,924145,6941.82,2.16,Fortnite,90.44
580,167,136,Northern Mariana Islands,300.0,1,45143,6645.55,22.15,Quake III Arena,100.0
356,36,137,India,8014054.92,1639,1438069596,5572.79,1.14,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,47.96
533,163,138,Aruba,518.74,5,107359,4831.83,46.57,Apex Legends,73.25
585,173,139,Palau,80.0,1,17727,4512.89,56.41,Trackmania (2020),100.0
212,170,140,Dominica,200.0,1,66510,3007.07,15.04,Counter-Strike: Global Offensive,100.0
516,134,141,Namibia,8271.59,7,2963095,2791.54,2.36,Counter-Strike: Global Offensive,60.45
887,112,142,Yemen,89051.24,12,34449825,2584.95,0.35,Rocket League,43.11
196,150,143,Cyprus,2906.09,13,1344976,2160.7,9.67,Rocket League,44.96
4,113,144,Afghanistan,79984.2,10,41454761,1929.43,0.24,Call of Duty: Black Ops 4,92.36
663,176,145,Saint Martin,50.0,1,27515,1817.19,36.34,Counter-Strike: Global Offensive,100.0
50,96,146,Bangladesh,296257.37,132,171466990,1727.78,0.77,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,42.92
144,118,147,Sri Lanka,33112.34,34,22037000,1502.58,1.54,Vainglory,33.25
438,175,148,Liechtenstein,56.47,2,39846,1417.21,50.19,Call of Duty: Advanced Warfare,50.42
120,120,149,Cameroon,31899.2,1,28372687,1124.29,0.04,Street Fighter 6,31.89
795,135,150,Turkmenistan,7553.95,12,7364438,1025.73,1.63,Dota 2,85.39
850,172,151,"Virgin Islands, U.S.",100.0,1,104917,953.13,9.53,Rocket League,100.0
